Cód.Ponto,Sist.Hidrico,Localização,Data Início,Data Fim,Município
RGOA02900,Rio Lagoa,"Praia de Aruã, ponte sobre o rio na avenida Beira-Mar",2004-01-01,,CARAGUATATUBA
RGRA02990,Ribeirão Grande,"PONTE NA ROD. AUGUSTO SGAVIOLI, A 3 KM DA SUA FOZ NO RIO TIETE",2008-10-01,,PEDERNEIRAS
RIBE02500,Rio Ribeira,"No município de Itaóca, na plataforma da balsa, a 3 Km do centro da cidade.",1982-01-01,,ITAOCA
RIBE02900,Rio Ribeira,"Ponte na Rod. Empei Hiraide, ao lado da captação da SABESP de Sete Barras, junto do Posto Flu 4F-015.",2014-01-01,,SETE BARRAS
RICO02200,Córrego Rico- UGHRI 9,PONTE NA ESTRADA DE TERRA A MONTANTE DA ETE CORREGO DO RICO,2010-01-01,,MONTE ALTO
RICO02600,Córrego Rico- UGHRI 9,NA CAPTAÇÃO DE JABOTICABAL (SAAEJ),2010-01-01,,JABOTICABAL
RICO03900,Córrego Rico- UGHRI 9,PONTE NA ESTRADA DE TERRA BARRINHA/USINA SÃO CARLOS.,2010-01-01,,JABOTICABAL
RIIG02500,Rio Ribeira de Iguape,"Ponte na rodovia BR-116, em Registro.",1974-10-01,,REGISTRO
RIIG02900,Rio Ribeira de Iguape,"Na antiga barragem, em Valo Grande, no Rio Ribeira de Iguape.",2000-11-17,,IGUAPE
RIIG02990,Rio Ribeira de Iguape,Na passarela de pedestres para o bairro do Rossil,2001-01-01,,IGUAPE
RIIG02995,Rio Ribeira de Iguape,NO PIER DA BALSA DA BARRA DO RIBEIRA,2008-01-01,,IGUAPE
RIJU02900,Rio Juqueriquerê,No pier do Condomínio Marina New Port.,2004-01-01,,CARAGUATATUBA
RIPE04250,Ribeirão Preto,"Ponte próxima da Fazenda Brejinho, na Rod. Vicinal Bonfim Paulista/Cravinhos.",2011-01-01,2016-12-31,RIBEIRAO PRETO
RIPE04300,Ribeirão Preto,"Ponte na Rua Dr. Sarabá em Bonfim Paulista, junto à régua do DAEE 4C-018.",2011-01-01,,RIBEIRAO PRETO
RIPE04900,Ribeirão Preto,A JUSANTE DA ETE DE RIBEIRÃO PRETO,2011-01-01,,RIBEIRAO PRETO
RITA02700,Ribeirão Santa Rita,"Ponte na SP-463, na divisa Mun. de Ouroeste e Populina. Junto a régua da DAEE 7A-001R.",2013-01-01,,POPULINA
RMAR02900,Reservatório do Córrego Marinheirinho,NO PIER DA CAPTAÇÃO DO SAEV DE VOTUPORANGA,2011-01-01,,VOTUPORANGA
RONC02030,Ribeirão das Onças (UGRHI 9),"PONTE PRÓXIMA A FAZ. CANNÃA, A MONTANTE DA ETE DE LUIS ANTONIO.",2010-01-01,,LUIS ANTONIO
RONC02400,Ribeirão das Onças (UGRHI 9),"NA PONTE DA SP 255, PRÓXIMO DO KM 24, ANTES DE BONFIM PAULISTA",2010-01-01,,LUIS ANTONIO
RONC02800,Ribeirão das Onças (UGRHI 9),PONTE NA ESTRADA DE TERRA QUE LIGA A USINA SÃO MARTINHO A SERTÃZINHO,2010-01-01,,DUMONT
RPRE02200,Reservatório do Rio Preto,Na captação da ETA de São José do Rio Preto.,1984-02-01,,SÃO JOSÉ DO RIO PRETO
RUNA02950,Rio Una - UGRHI 03,"Atrás do cemitério, próxima a capela Nossa Senhora do Carmo",2004-01-01,,SÃO SEBASTIAO
RYTA00800,Ribeirão Santa Rita,"Ponte na Rua Mary Angels V. de Souza, próximo ao entroncamento com a Estrada Embu-Guaçu.(Ponto G19- Programa Mananciais).",2014-05-03,,EMBU-GUAÇU
SABO22500,Rio Saboó,"Ponte na Av. Pres. Getúlio Vargas, ao lado Centro de Treinamento Meninos da Vila.",2016-01-01,,SANTOS
SAFO00300,Rio São Francisco,Na captação da SABESP de São Sebastião - Bairro São Francisco.,2000-09-28,,SÃO SEBASTIAO
SAGU02050,Rio Sapucaí Guaçu,"Ponte na Av. Emilio Lang Jr. com a Rua Engenheiro Prudente de Moraes, na saída para a estrada do horto florestal.",2014-01-01,,CAMPOS DO JORDAO
SAGU02100,Rio Sapucaí Guaçu,Estrada do Horto. Ponte de madeira a jusante da futura ETE de Campos de Jordão.,2001-09-07,2013-12-31,CAMPOS DO JORDAO
SAGU02250,Rio Sapucaí Guaçu,"Ponte na estrada de acesso ao Borboletário, A jusante da ETE de Campos do Jordão.",2014-01-01,,CAMPOS DO JORDAO
SAHI02950,Rio Saí,"Ponte de madeira sobre o rio Sahy, na área urbana",2004-01-01,,SÃO SEBASTIAO
SALT02700,Ribeirão do Saltinho,"Ponte na Rod. Euclides de Figueiredo, SP- 363 km 69, na divisa Piquerobi/ Pres. Venceslau",2016-01-01,,PRESIDENTE VENCESLAU
SAMI02200,Rio Sapucaí-Mirim,"Ponte na estrada Municipal de São Bento do Sapucaí - Paiol Grande, junto a régua do IGAM.",2014-01-01,,SAO BENTO DO SAPUCAI
SANT00100,Reservatório Santa Branca,"No meio do corpo central, na junção dos braços Capivari e Paraibuna.",2001-09-26,,JAMBEIRO
SAPU02050,Rio Sapucaí -UGHRI 8,"Ponte da Rod. do Guardinha, cerca de 5 km antes da divisa de MG.",2006-01-01,,ALTINÓPOLIS
SAPU02150,Rio Sapucaí -UGHRI 8,PONTE NA ESTRADA DA USINA BATATAIS,2007-01-01,,BATATAIS
SAPU02200,Rio Sapucaí -UGHRI 8,"Ponte na Rod.336 (antiga rod. Franca/Batatais), a jusante do Rib.Sta.Bárbara.",2006-01-01,,BATATAIS
SAPU02250,Rio Sapucaí -UGHRI 8,"Ponte da Rod. SP-334, a montante do Rib. dos Bagres, em Restinga",2006-01-01,,RESTINGA
SAPU02270,Rio Sapucaí -UGHRI 8,"Ponte na estrada da Usina Batatais, 600 metros a jusante do Rib. dos Bagres",2006-01-01,,SÃO JOSÉ DA BELA VISTA
SAPU02300,Rio Sapucaí -UGHRI 8,"Ponte na rodovia que liga Nuporanga a São José da Bela Vista, próxima da PCH dos Dourados.",2000-10-04,,SÃO JOSÉ DA BELA VISTA
SAPU02400,Rio Sapucaí -UGHRI 8,"Ponte na rodovia SP-345, no trecho que liga Barretos a Franca.",1974-10-01,2000-12-31,SÃO JOAQUIM DA BARRA
SAPU02800,Rio Sapucaí -UGHRI 8,"Ponte na rodovia SP 425, que liga Guaíra a Miguelópolis.",2000-10-04,2011-12-31,GUAIRA
SAPU02900,Rio Sapucaí -UGHRI 8,"Ponte na estrada vicinal que liga Guaira ao Rio Grande, alt. do km 13 + 200m, junto a régua do DAEE (5B -007).",2012-01-01,,GUAIRA
SAPZ04500,Rio Sapucaizinho,"Ponte na Rod. SP 345, km 3, na entrada da cidade, a jusante do Lacticínio Jussara. Junto a régua do DAEE 4B-015.",2015-01-01,,PATROCINIO PAULISTA
SATO02900,Rio Santo Antonio,"Entre praia da Cidade e Frecheiras, Avenida Rio de Janeiro, a montante da Av. da Praia",2004-01-01,,CARAGUATATUBA
SAUI02900,Rio Sarapuí,"Ponte na estrada vicinal Iperó/Tatuí, próxima à captação da SABESP de Boituva e Iperó.",2005-01-01,,IPERO
SDOM03700,Ribeirão São Domingos,"Na ponte Tabapuã, na rodovia que liga Uchoa a Tabapuã",2005-07-01,2009-12-31,UCHOA
SDOM03900,Ribeirão São Domingos,"Na ponte do Pingadouro, em Tabapuã.",2005-07-01,,TABAPUA
SDOM04300,Ribeirão São Domingos,A MONTANTE DA CIDADE DE CATANDUVA,2010-01-01,,CATANDUVA
SDOM04500,Ribeirão São Domingos,"Ponte na Rua J. Zancaner, em Catiguá. Junto a régua do DAEE 6C-008L.",1980-01-01,,CATIGUA
SDOM04600,Ribeirão São Domingos,"Na ponte do Japurá, em Uchôa.",2005-07-01,2009-12-31,UCHOA
SERR04500,Córrego da Serraria,"No meio do Cór. Da Serraria,antes do afluente da Vila Carlina",2013-10-01,,MAUA
SERR04800,Córrego da Serraria,Ponte próximo da Recicladora de PET,2013-10-01,,MAUA
SERR04950,Córrego da Serraria,Próximo a foz no Rio Tabuão,2013-10-01,,MAUA
SETA04600,Ribeirão do Sertãozinho,PONTE A JUSANTE DA ETE DE SERTAZINHO,2011-01-01,,SERTAOZINHO
SJBA04225,Cor. São João do Barueri,"Na ponte da entrada da Chácara Mariana, na divisa de São Roque com Itapevi",,,SAO ROQUE
SJBA04500,Cor. São João do Barueri,"Rua Arraia, a montante do Lofrio, esquina com a rua Lagosta, altura da est.Santa Rita",,,ITAPEVI
SJBA04750,Cor. São João do Barueri,"Ponte em frente à Estação de Trem Jandira, na Av. Antonio Baerdella",,,JANDIRA
SJBA04950,Cor. São João do Barueri,Na alça de retorno da Av. Boulevard Arnaldo Bittencout sobre o Córrego São João do Barueri,2012-01-01,,BARUERI
SJDO02150,Rio São José dos Dourados,"Na ponte da estrada de terra das 2 pontes, à jusante da ETE de Monte Aprazível.",2013-01-01,,MONTE APRAZIVEL
SJDO02500,Rio São José dos Dourados,"Ponte na rodovia SP-463, no trecho que liga Araçatuba a Jales.",1974-10-01,,GENERAL SALGADO
SLOU03700,Rio São Lourenço,Ponte na estrada de terra paralela a Rod. Dr. Mauricio Antunes Ferraz. A jusante da ETE de Itápolis.,2014-01-01,,ITAPOLIS
SMIG02500,Rio São Miguel Arcanjo,"Ponte na SP 268, na estrada vicinal para o bairro Santa Cruz, a montante da cidade de S.M Arcanjo",2005-10-01,,SAO MIGUEL ARCANJO
SMIG02800,Rio São Miguel Arcanjo,"Ponte na estrada SP 250 (S.Miguel Arcanjo/Capão Bonito), na fazenda Pinhalzinho",2005-10-01,,SAO MIGUEL ARCANJO
SOBU02800,Rio Sorocabuçu,"Ponte na estrada Bunjiro Nakao, na captação de Ibiúna",2005-01-01,,IBIUNA
SOIT02100,Reservatório Itupararanga,"No meio do corpo central, lado esquerdo da Praia do Escritório, em frente a uma ilha.",1998-11-30,,IBIUNA
SOIT02900,Reservatório Itupararanga,"Próximo a barragem, na estrada que liga Ibiúna a Votorantim.",1998-11-30,,VOTORANTIM
SOMI02850,Rio Sorocamirim,"Ponte na estrada do Cangüera, na captação da SABESP de São Roque",2005-01-01,,SAO ROQUE
SORO02050,Rio Sorocaba,"PONTE BENITO SEVILHA, PRÓXIMO À PREFEITURA DE VOTORANTIM",2011-01-01,,VOTORANTIM
SORO02070,Rio Sorocaba,"Ponte na Rod. SP 270 - Raposo Tavares, na Associação do Banco do Brasil",2005-01-01,2010-12-31,SOROCABA
SORO02100,Rio Sorocaba,"Ponte Pinga-Pinga, na Av. Marginal, na cidade de Sorocaba.",1976-01-01,,SOROCABA
SORO02200,Rio Sorocaba,"Ponte na estrada municipal que liga Sorocaba à rodovia Castelo Branco, em Itavuvu.",1979-01-01,,SOROCABA
SORO02300,Rio Sorocaba,"Ponte na Estrada Mun. Sorocaba/Boituva ao lado da captação do condomínio Faz. Boa Vista, na divisa de Boituva/Iperó.",2019-01-01,,BOITUVA
SORO02500,Rio Sorocaba,"Ponte no Bairro de Americana Velha, em Tatuí. Junto ao Posto do DAEE 4E-004RL.",2005-01-01,,TATUI
SORO02700,Rio Sorocaba,Na ponte à montante da captação do Município de Cerquilho.,2000-01-01,,CERQUILHO
SORO02900,Rio Sorocaba,Ponte na estrada que liga Laranjal Paulista à localidade de Entre Rios.,1974-10-01,,LARANJAL PAULISTA
SPRA04850,Córrego Águas Espraiadas,"Ponte na Av. Roberto Marinho com a Rua Ribeiro do Vale, no Brooklin Paulista.",2012-01-01,,SÃO PAULO
STAN02300,Rio Santo Anastácio,Ponte na Rod. Assis Chateaubriand. Rodovia que liga Presidente Prudente - Pirapozinho. Junto a régua do DAEE: 8D-002.,2014-01-01,,PRESIDENTE PRUDENTE
STAN02700,Rio Santo Anastácio,"Ponte na rodovia que liga Presidente Venceslau a Teodoro Sampaio, SP 563.",1978-01-01,,PIQUEROBI
STAN04400,Rio Santo Anastácio,"Ponte sobre o Rio Sto.Anastácio, na divisa do bairro do Cruzeiro com o bairro Boa Esperança.",2004-01-01,,ALVARES MACHADO
TABA02900,Rio Tabatinga,Praia de Tabatinga. Ponte de madeira no final da Rua 18,2009-01-01,,CARAGUATATUBA
TABU04150,Córrego Tabuão,Ponte no cruzamento da Av. Kenzo Sasaki com a Av. do Manacá.,,,MAUA
TABU04900,Córrego Tabuão,Ponte na Av. Francisco Ortega Escobar.,,,MAUA
TAIA02800,Rio Taiaçupeba-Açu,A jusante do vertedouro do Reservatório de Taiaçupeba e montante da Indústria de papel e celulóse Suzano.,1977-11-01,2013-11-03,SUZANO
TAIA02900,Rio Taiaçupeba-Açu,"Ponte na divisa de Suzano/ Mogi das Cruzes, a jusante da Companhia Suzano de papel e celulose.",2014-02-01,,SUZANO
TAIM00800,Rio Taiaçupeba-Mirim,"Ponte na estrada de terra, no final da Trav. Crispim Adelino Cardoso, ao lado da EEE da SABESP.",2009-01-01,,SUZANO
TAMT04050,Rio Tamanduateí,"Na Rua Armando Benedetti, logo após deixar o Parque da Gruta Santa Luzia.",,,MAUA
TAMT04250,Rio Tamanduateí,"Na ponte da Av. do Estado, na divisa de Santo André com Mauá.",2013-04-02,,MAUA
TAMT04500,Rio Tamanduateí,"Ponte na Avenida do Estado X Rua do Ouro, na divisa ente São Caetano do Sul e Santo André, em frente à Akzo Nobel.",1977-01-01,,SÃO CAETANO DO SUL
TAMT04600,Rio Tamanduateí,"Ponte na Av. Francisco Mesquita, 1000, em frente ao Plaza Shopping, junto a régua DAEE para PQS.",2012-01-01,,SÃO PAULO
