Cód.Ponto,Sist.Hidrico,Localização,Data Início,Data Fim,Município
ATIB02400,Rio Atibaia,"RIO ATIBAIA, A JUSANTE DA BANN QUÍMICA E MONTANTE DA HÉRCULES, PROX. DA ESTRADA DE FERRO",2008-01-01,,PAULINIA
ATIB02430,Rio Atibaia,"RIO ATIBAIA, A JUSANTE DA HÉRCULES E A MONTANTE DA REPLAN",2008-01-01,,PAULINIA
ATIB02450,Rio Atibaia,"RIO ATIBAIA, A JUSANTE DA REPLAN E A MONTANTE DA KRATON",2008-01-01,,PAULINIA
ATIB02605,Rio Atibaia,Ponte da Rodovia SP - 332 que liga Campinas a Cosmópolis.,1979-01-01,,PAULINIA
ATIB02800,Rio Atibaia,"Na captação de Sumaré, perto do Mini-Pantanal de Paulinia.",2002-01-01,,PAULINIA
ATIB02900,Rio Atibaia,"Ponte de Salto Grande, a jusante do Reservatório da CPFL.",2002-01-01,,AMERICANA
ATSG02800,Reservatório de Salto Grande (UGRHI 05),"No corpo central do Reservatório do Salto Grande, em frente ao Yacht Club de Americana.",2017-01-01,,AMERICANA
AVEC02800,Ribeirão Avecuia,Na captação de Porto Feliz,2016-03-10,,PORTO FELIZ
BACO02950,Rio Branco (Itanhaém),PONTE PRÓXIMA DA CAPTAÇÃO DO MAMBÚ-SABESP,2009-01-01,,ITANHAEM
BAGR04020,Ribeirão dos Bagres,"Ponte sob a Av. Hélio Palermo, a 500 metros da nascente.",2006-01-01,,FRANCA
BAGR04500,Ribeirão dos Bagres,"Ponte no final da Rua Rio Trombetas com a Av. das Seringueiras, próximo ao Residencial Amazonas.",1979-01-01,,FRANCA
BAGR04600,Ribeirão dos Bagres,"Ponte na rodovia de acesso à SP-334, no município de Restinga.",2001-06-12,,RESTINGA
BAGR04950,Ribeirão dos Bagres,"Ponte na Fazenda Boa Sorte, a 2 km da foz, em Batatais.",2006-10-01,,BATATAIS
BAGU02700,Ribeirão Baguaçu,"Na Avenida Baguaçu, 1530, na captação do município de Araçatuba.",2001-01-01,,ARAÇATUBA
BAIN02950,Rio Atibainha,Ponte sobre o Rio Atibainha na estrada que liga a Rod. D. Pedro a Piracaia.,2003-01-01,,BOM JESUS DOS PERDOES
BALD02600,Vala de Escoamento à direita na Praia da Baleia,Vala de escoamento do lado direito do aterro sanitário (olhando-se de frente para o aterro) na praia da Baleia.,2003-01-01,2007-05-01,SÃO SEBASTIAO
BALD02700,Vala de Escoamento à direita na Praia da Baleia,"Vala de escoamento do lado direito do aterro sanitário,(de frente para o aterro) na praia da Baleia",2007-01-01,2020-12-31,SÃO SEBASTIAO
BALE02600,Vala de Escoamento à esquerda na Praia da Baleia,"Vala de escoamento do lado esquerdo do aterro sanitário,(de frente para o aterro) na praia da Baleia",2003-01-01,2007-05-01,SÃO SEBASTIAO
BALE02700,Vala de Escoamento à esquerda na Praia da Baleia,"Vala de escoamento do lado esquerdo do aterro sanitário,(de frente para o aterro) na praia da Baleia",2007-01-01,2020-12-31,SÃO SEBASTIAO
BARI02950,Rio Lambari,"Na foz do Rio Lambari, em frente ao rancho do Lafaiate.",2019-01-01,,CACONDE
BATA02050,Rio Batalha,Na captação de Bauru.,2001-01-01,,BAURU
BATA02300,Rio Batalha,"Ponte na rodovia Marechal Rondon (SP-300), na altura do km 373, a jusante de Avaí.",2015-06-01,,AVAI
BATA02800,Rio Batalha,"Ponte na rodovia SP-331, no trecho que liga Reginópolis a Pirajuí, ao lado da régua DAEE 6C-001.",2001-01-01,,REGINOPOLIS
BBRA02700,Braço do Ribeirão Santa Bárbara - UGRHI 19,No pier do Náutico Clube Buritama.,2020-01-01,,BURITAMA
BEBE04500,Córr. Bebedouro,"Ponte na Rod. SP 326, em Bebedouro.",2019-01-01,,BEBEDOURO
BEBE04800,Córr. Bebedouro,Ponte na SP 353 (Rod. Oswaldo Prudente Correa) que leva à Terra Roxa.,2019-01-01,2019-12-31,BEBEDOURO
BESP04900,Córrego da Boa Esperança,Ponte a cerca de 1 km da foz do Córrego da Boa Esperança com o Ribeirão Aguapeí-Mirim.,2016-01-01,,LUCELIA
BETA02900,Rio Betari,PONTE NA ESTRADA PARA O BAIRRO DA SERRA,2008-01-01,,IPORANGA
BFAR02250,Braço do Ribeirão da Fartura,"No corpo Central, em frente a Prainha de Ubarana.",2020-01-01,,UBARANA
BILL02030,Reservatório Billings,"No meio do corpo central, cerca de 1,5 km da Barragem de Pedreira.",2007-01-01,,SÃO PAULO
BILL02100,Reservatório Billings,"No meio do corpo central, na direção do braço do Bororé.",1999-01-01,,SÃO PAULO
BILL02500,Reservatório Billings,"No meio do corpo central, sob a ponte da rodovia dos Imigrantes.",1976-01-01,,SÃO BERNARDO DO CAMPO
BILL02900,Reservatório Billings,Próximo à barragem reguladora Biliings-Pedras (Summit Control).,1976-01-01,,SÃO BERNARDO DO CAMPO
BILU02900,Córrego da Biluca,NA ENTRADA DA EST.ECOLOGICA DA UNESP,2008-11-01,,SÃO JOSÉ DO RIO PRETO
BIRP00500,Braço do Rio Pequeno,"No Braço do Rio Pequeno, a aproximadamente 2 km à montante da Rodovia Caminhos do Mar.",2015-04-14,,SÃO BERNARDO DO CAMPO
BITQ00100,Braço do Ribeirão Taquacetuba,Na baía situada no final da rua Tomekichi Inouye (captação da SABESP),1999-01-01,,SÃO PAULO
BJAU03300,Braço do rio Jaú,"Braço do Rio Jaú, na ponte da Marambaia na vicinal de Itapuí.",2016-01-01,,ITAPUI
BMAN02250,Braço do Rio Barra Mansa,"Ponte na SP-304, na divisa municipal de Mendonça / Sales.",2020-01-01,,MENDONCA
BMIR02800,Rio Biritiba-Mirim,"Ponte na rodovia SP-88, na divisa de município Biritiba Mirim/ Mogi das Cruzes, a 600 m da captação da SABESP.",1977-01-01,,BIRITIBA MIRIM
BOIB02950,Córr. Boi Branco,"Ponte a 200m da entrada da Faz. Boi Branco, no distrito Holambra II.",2018-01-01,,PARANAPANEMA
BOIC02950,Rio Boiçucanga,"PRAIA DE BOIÇUCANGA, SOBRE A PONTE DA AV. WALQUIR VERGANI ( SP O55 )",2004-01-01,,SÃO SEBASTIAO
BOSC04500,Córrego Dom Bosco,"Ponte na Rua Jose Abrantes, no Jardim Dom Bosco.",2020-01-01,,SÃO PAULO
BPEN02400,Braço do Rib. Ponte Pensa,"Ponte na rodovia dos Barrageiros (SP 595, km 101).",2013-01-01,,TRES FRONTEIRAS
BPRU02300,Braço do Ribeirão Paruru,"Corpo central, cerca de 700m a jusante do Pier São Francisco.",2020-01-01,,PIEDADE
BQGU03150,Rio Baquirivu-Guaçu,"Ponte na Estrada dos Vados, próxima ao Nippon Country Club, na divisa municipal Arujá/Guarulhos.",1983-01-01,2000-12-31,ARUJÁ
BQGU03200,Rio Baquirivu-Guaçu,"Ponte da Rua Tamatsu Iwasse, na altura do número 500, no município de Guarulhos.",2001-01-01,2010-12-31,ARUJÁ
BQGU03850,Rio Baquirivu-Guaçu,"PONTE NA RUA JOSE MARQUES PRATA, A JUSANTE DA PENITENCIÁRIA DE GUARULHOS",2011-01-01,,GUARULHOS
BROA02800,Represa do Broa,"No corpo central, a 1km do final do Condomínio Santo Antônio",2017-01-01,,ITIRAPINA
BSJD02200,Braço do Rio São José dos Dourados,"Ponte na vicinal Suzanápolis /Pereira Barreto, na divisa de município.",2013-01-01,,SUZANÁPOLIS
BSJD02900,Braço do Rio São José dos Dourados,Ponte na Rodovia dos Barrageiros entre os municípios de Ilha Solteira/Três Fronteiras.,2013-01-01,,ILHA SOLTEIRA
BUKI02950,Rio Buquira,"Ponte na rua Alziro Lebrão, no bairro Alto da Ponte.",2016-01-01,,SÃO JOSÉ DOS CAMPOS
BUNA02900,Rio Una - UGHRI 10,"Ponte na estrada que liga Ibiúna a Mayrink, próximo á Rodoviária de Ibiúna",2005-01-01,,IBIUNA
BURI02950,Rio Camburi,"Estrada do Cambury, na ponte sobre o rio Cambury",2004-01-01,,SÃO SEBASTIAO
CABU04700,Rio Cabuçu,"Ponte na Rod. Fernão Dias, altura do km 88, perto da passarela do Parque Edú Chaves.",2007-11-01,,SÃO PAULO
CACH00500,Reservatório do Rio Cachoeira,"No meio do corpo central, cerca de 3,5 km da barragem",2014-05-01,,PIRACAIA
CACH00892,Reservatório do Rio Cachoeira,"Na margem próxima a barragem, a 600m da Praia da Tulipa",2015-02-05,2015-02-05,PIRACAIA
CAMO00900,Reservatório Capivari-Monos,Junto à Estação de Recalque da SABESP.,1977-11-01,,SÃO PAULO
